Product Name, Deal Price, MRP
('Upto 75% Off on Home and Furnishing products \xe2\x80\x93 Price starts at Rs...', ' 400', ' 500')
('Handecor Brass Buddha Face At Rs. 238', ' 64800', ' 71500')
('American Tourister Code Black and Grey Casual Backpack At Rs. 849', ' 52', ' 299')
('Flat 75% Off on Kids Products', ' 238', ' 895')
('Personalised Poster at Rs.85 Only', ' 849', ' 1250')
('Luminous Luminous 700 KVA EECO WATT Inverters At Rs. 2678', ' 250', ' 1000')
('Photro Stedy 450 Tripod At Rs. 499', ' 85', ' 149')
('Sony Xperia ZR (Pink) At Rs. 16999', ' 2678', ' 4500')
('Buy 3 Roadster shirts at Rs.1020', ' 499', ' 1500')
('Nokia Asha 503 (Dual SIM, Black) At Rs. 3360', ' 16999', ' 22990')
('Skyline 1.2 ltr Electric Cordless Kettle At Rs. 349', ' 1020', ' 3000')
('VLCC Cocoa Butter BODY LOTION SPF15- 200ml At Rs. 69', ' 3360', ' 7399')
('Asus Laptop Backpack At Rs. 599 on Groupon', ' 349', ' 1499')
('V-Guard VG 500 Voltage Stabilizer at Rs.1647 + Extra 10% Cashback', ' 69', ' 150')
('Smart Kitchen Container Set \xe2\x80\x93 3 Pc At Rs. 93', ' 599', ' 1999')
('Minimum 50% Off on Winter Wears \xe2\x80\x93 price starts at Rs.237', ' 1647', ' 3250')
('Get An Amazon Rs. 150 Voucher FREE WITH YOUR FIRST OLA-KAALI PEELI TRIP...', ' 93', ' 399')
('iConnect Contact Lenses at Rs.149', '', ' 1000')
('Branded Shirts At Rs. 499 only on Myntra', ' 150', ' 275')
('Flat 60% off on Ethnic wear from Myntra.com', ' 499', ' 999')
('Lock&Lock Multi-Lock Container, 600ml, Set of 3 At Rs. 299', ' 359', ' 899')
('Zion Casual shirt Set of 2 At Rs. 649', ' 299', ' 660')
('American Wills Winter Tracksuit At Rs. 603', ' 649', ' 2000')
('Surya SS-002C 3 Automatic Gas Stove At Rs. 1660', ' 603', ' 3199')
('Amazon Lightning Deal || Exciting offers Everyday ||', ' 1660', ' 4999')
('GoldNera Wallet + Cufflinks Combo At Rs. 399 on Groupon', ' 399', ' 799')
('Pack of 24 Different Nail Paints At Rs. 449 on Groupon', ' 449', ' 1199')
('Pressure cookers upto 40% off on Flipkart', ' 19489', ' 27950')
('Nikon D3100 14.2MP SLR with 18-55mm Lens+8GB Card+Camera Bag At Rs. 19,...', ' 133', ' 699')
('Set Of 12pcs Soup Bowl At Rs. 133 from shopclues', ' 240', ' 325')
('Lotus Herbals Whiteglow Skin Whitening And Brightening Gel Cream SPF-25...', ' 2199', ' 5995')
('Flat 60% off on Philips QS 6140 Style Shaver For Men at Rs.2199', ' 5999', ' 5999')
('Buy Redmi 1st Without any Registration at Rs.5999', ' 30', ' 10')
('Flat 50% Off on 1Lac+ Products at Myntra  B/W 8 to 10PM', ' 189', ' 419')
('Recharge of Rs.10 and get Rs.30 from Mobikwik', ' 499', ' 900')
('Metal Style Brown Corner Wall Shelf at  Rs 189', ' 600', ' 1000')
('Buy 1 Get 1 on Curtains @ Rs.499', ' 99', ' 199')
('Timex Watches at Minimum 40% Off', ' 105', ' 190')
('Nuk Bottle Tongs at Rs.99', ' 999', ' 1790')
('Park Avenue Good Morning Body Deodorant, 150ml At Rs. 105', ' 400', ' 500')
('Glen GL 4043 Mini Chopper White At Rs. 999', ' 160', ' 299')
('Bookmyshow flat 20% off Coupon on Movie Tickets', ' 0', ' 500')
('The Secret Of The Nagas (Shiva Trilogy) at Rs.160', ' 348', ' 1400')
('Buy 1 Get 1 Free on kids clothes, shoes and Fashion on Firstcry', ' 599', ' 1299')
('Enjoy music from your favourite Bollywood artists for Free', ' 198', ' 299')
('Omron HEA-230 Glucometer At Rs. 348', ' 500', ' 1000')
('Buy Casual and Formal Shirts  at Rs.599 or less', ' 725', ' 1450')
('SanDisk 8GB Class 4 microSDHC Memory Card (SDSDQM-008G-B35) at Rs.198', ' 10', ' 60')
